Company: ,PayPal Holdings Inc. 
Date,Open,High,Low,Close,Prediction,Earning
2020-10-19,205.520004,207.229996,199.100006,200.059998,N/A	,0.000000
2020-10-20,201.139999,205.470001,200.309998,201.960007,N/A	,0.000000
2020-10-21,208.300003,215.830002,206.020004,213.070007,N/A	,0.000000
2020-10-22,211.899994,212.339996,202.139999,203.929993,N/A	,0.000000
2020-10-23,206.240005,206.240005,201.210007,203.039993,N/A	,0.000000
2020-10-26,200.660004,203.889999,195.050003,197.220001,N/A	,0.000000
2020-10-27,198.789993,201.320007,197.720001,200.429993,N/A	,0.000000
2020-10-28,196.960007,198.389999,191.500000,192.309998,N/A	,0.000000
2020-10-29,194.080002,197.589996,192.309998,195.039993,N/A	,0.000000
2020-10-30,193.289993,195.330002,182.919998,186.130005,N/A	,0.000000
2020-11-02,189.009995,192.705002,185.050003,187.759995,N/A	,0.000000
2020-11-03,177.940002,188.750000,174.809998,179.809998,N/A	,0.000000
2020-11-04,186.759995,195.000000,184.110001,194.289993,N/A	,0.000000
2020-11-05,202.300003,204.919998,199.369995,204.559998,N/A	,0.000000
2020-11-06,204.600006,204.919998,198.550003,202.729996,N/A	,0.000000
2020-11-09,195.740005,196.070007,184.440002,184.720001,N/A	,0.000000
2020-11-10,184.979996,186.710007,178.600006,183.360001,N/A	,0.000000
2020-11-11,187.498001,193.100006,186.399994,192.339996,N/A	,0.000000
2020-11-12,193.949997,194.899994,188.429993,189.100006,N/A	,0.000000
2020-11-13,191.106995,191.729996,186.850006,188.619995,N/A	,0.000000
2020-11-16,185.190002,192.380005,183.539993,191.940002,8.840012,3644.905193
2020-11-17,192.130005,194.630005,190.630005,192.300003,N/A	,3644.905193
2020-11-18,192.589996,192.949997,189.539993,190.119995,N/A	,3644.905193
2020-11-19,190.820007,192.750000,189.570007,190.899994,N/A	,3644.905193
2020-11-20,192.470001,194.729996,190.960007,192.669998,N/A	,3644.905193
2020-11-23,194.529999,202.160004,193.919998,200.820007,N/A	,3644.905193
2020-11-24,204.000000,207.078995,198.860001,206.000000,N/A	,3644.905193
2020-11-25,206.289993,216.070007,206.229996,214.460007,N/A	,3644.905193
2020-11-27,213.199997,213.839996,208.619995,211.389999,N/A	,3644.905193
2020-11-30,212.509995,215.830002,207.089996,214.119995,8.740006,4430.130836
2020-12-01,217.149994,220.570007,214.339996,216.539993,N/A	,4430.130836
2020-12-02,215.600006,215.750000,210.500000,212.559998,N/A	,4430.130836
2020-12-03,213.330002,216.929993,213.110001,214.539993,N/A	,4430.130836
2020-12-04,214.880005,218.552994,213.009995,217.770004,N/A	,4430.130836
2020-12-07,217.389999,219.320007,216.309998,217.929993,N/A	,4430.130836
2020-12-08,216.324997,218.720001,215.570007,216.940002,N/A	,4430.130836
2020-12-09,217.000000,218.940002,209.250000,210.800003,N/A	,4430.130836
2020-12-10,208.360001,216.229996,206.649994,215.339996,N/A	,4430.130836
2020-12-11,213.389999,215.000000,210.419998,214.059998,N/A	,4430.130836
